"FACILITY_DOCUMENT_ID","DOCUMENT_ID","CWNS_ID","FACILITY_ID","STATE_CODE","DOCUMENT_TYPE_ID","DOCUMENT_TYPE","PUBLISHED_DATE","BASE_MONTH_COST_INFO","CERT_FLAG","SELF_CERT_FLAG","AGE_CERT"
6778,1517,"48005060001",1183612,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
6776,1517,"48006047002",1183710,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
12815,1517,"48003009001",1227803,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
12779,1517,"48001162001",1182958,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
8806,1517,"48006043002",1183706,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
13958,1517,"48000115001",1227740,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
6741,1517,"48007033001",1183814,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
13279,1517,"48004223001",1183475,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
8816,1517,"48005021001",1227872,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
6752,1517,"48020780001",428136,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
6749,1517,"48007033006",2881937,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
12129,1517,"48005071001",1183620,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
6548,1517,"48005025002",1183585,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
6772,1517,"48006046001",1183708,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
6775,1517,"48001139001",1182942,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
7037,1517,"48001012001",1182883,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
6793,1517,"48003073001",1183224,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
13304,1517,"48001243001",1183021,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
7058,1517,"48004065001",1183380,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
13032,1517,"48001148001",1182951,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
12133,1517,"48005020002",1227871,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
1829,1517,"48002031001",1183125,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
12322,1517,"48004104001",1183410,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
6547,1517,"48006074001",1183728,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
13029,1517,"48007826003",1184289,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
7074,1517,"48000000103",3608783,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
6613,1517,"48003001001",1183166,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
6363,1517,"48001111001",1182915,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
8819,1517,"48007465001",1184088,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
6762,1517,"48005053001",1227878,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
6802,1517,"48001114001",1227764,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
6753,1517,"48003290001",1227830,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
8872,1517,"48000000113",3609250,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
6751,1517,"48004207001",1227852,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
8163,1517,"48000000106",3608999,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
6535,1517,"48002138001",1227800,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
10340,1517,"48000000115",3609565,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
14206,1517,"48000000171",3610608,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
13384,1517,"48000000133",3610460,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
12238,1517,"48003085001",1227818,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
13266,1517,"48000240001",1227753,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
6750,1517,"48007033009",413590,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
12247,1517,"48005078001",1183627,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
12803,1517,"48004057001",1183374,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
13667,1517,"48000000164",3610518,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
15687,1517,"48001046001",1182901,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
12326,1517,"48003098001",1183245,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
12335,1517,"48007815001",1184284,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
12340,1517,"48004354501",3507298,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
12768,1517,"48071241001",3150676,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
13575,1517,"48001131004",3540036,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
13661,1517,"48000000163",3610517,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
13963,1517,"48000000170",3610571,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
13940,1517,"48000000165",3610547,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
14408,1517,"48000000172",3610632,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
12820,1517,"48000000130",3610396,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
13000,1517,"48003032001",1183195,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
15686,1517,"48000000121",3609620,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
13377,1517,"48009075001",1184498,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
13365,1517,"48001238001",1183017,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
13249,1517,"48001028001",1182896,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
