"CWNS_ID","FACILITY_ID","STATE_CODE","PERMIT_NUMBER","PERMIT_SOURCE","PERMIT_TYPE"
"48001121001",1227767,"TX","TX0070017","NPDES","Individual Permit"
"48004202001",1227850,"TX","TX10739-1","Non-NPDES","Permit not found in NPDES lookup"
"48005076001",1227882,"TX","TX0024902","NPDES","Individual Permit"
"48007060001",1227911,"TX","TX0074284","NPDES","Individual Permit"
"48009076001",1227953,"TX","TX0092274","NPDES","Individual Permit"
"48071128001",3136408,"TX","TX12304-1","Non-NPDES","Permit not found in NPDES lookup"
"48003033016",3514807,"TX","TX0097870","NPDES","Individual Permit"
"48003008902",3532196,"TX","TXR040037","NPDES","General Permit Covered Facility"
"48003043003",3514976,"TX","TX0137448","NPDES","Individual Permit"
"48007064004",3537876,"TX","TX0057843","NPDES","Individual Permit"
"48071208001",3148208,"TX","TX12447-1","Non-NPDES","Permit not found in NPDES lookup"
"48001151801",3542578,"TX","TXR040298","NPDES","General Permit Covered Facility"
"48001131002",1182936,"TX","TX0023621","NPDES","Individual Permit"
"48002035001",1183126,"TX","TX10141-1","Non-NPDES","Permit not found in NPDES lookup"
"48003094001",1183243,"TX","TX0105015","NPDES","Individual Permit"
"48003239001",1183295,"TX","TX0073008","NPDES","Individual Permit"
"48004087001",1183396,"TX","TX0026883","NPDES","Individual Permit"
"48004359001",1183530,"TX","TX0026964","NPDES","Individual Permit"
"48005018001",1183579,"TX","TX0052779","NPDES","Individual Permit"
"48005047001",1183603,"TX","TX0075957","NPDES","Individual Permit"
"48007060002",1183883,"TX","TX0107425","NPDES","Individual Permit"
"48007075001",1183901,"TX","TX0032425","NPDES","Individual Permit"
"48007410001",1184064,"TX","TX0114880","NPDES","Individual Permit"
"48007880001",1184327,"TX","TX0046868","NPDES","Individual Permit"
"48009023001",1184482,"TX","TX0052973","NPDES","Individual Permit"
"48001131003",1182937,"TX","TX0023639","NPDES","Individual Permit"
"48001203005",1182979,"TX","TX0047066","NPDES","Individual Permit"
"48001533001",1183098,"TX","TX0119024","NPDES","Individual Permit"
"48003061001",1183219,"TX","TX0024031","NPDES","Individual Permit"
"48003100002",1183248,"TX","TX0053678","NPDES","Individual Permit"
"48003125001",1183269,"TX","TX0053520","NPDES","Individual Permit"
"48004014001",1183330,"TX","TX0026514","Non-NPDES","Permit not found in NPDES lookup"
"48004031002",1183352,"TX","TX0024686","NPDES","Individual Permit"
"48004099001",1183406,"TX","TX0024929","NPDES","Individual Permit"
"48004142001",1183452,"TX","TX0022357","NPDES","Individual Permit"
"48006011001",1183683,"TX","TX0054178","NPDES","Individual Permit"
"48007040002",1183859,"TX","TX0034401","NPDES","Individual Permit"
"48007071001",1183898,"TX","TX0021458","NPDES","Individual Permit"
"48001211001",1182991,"TX","TX0025135","Non-NPDES","Permit not found in NPDES lookup"
"48001236001",1183015,"TX","TX0022411","NPDES","Individual Permit"
"48003040002",1183206,"TX","TX0025071","NPDES","Individual Permit"
"48003133001",1183272,"TX","TX0117579","NPDES","Individual Permit"
"48005072001",1183621,"TX","TX0033456","NPDES","Individual Permit"
"48007054001",1183875,"TX","TX0032476","NPDES","Individual Permit"
"48007295001",1184047,"TX","TX0025046","NPDES","Individual Permit"
"48007688001",1184215,"TX","TX0046671","NPDES","Individual Permit"
"48007728001",1184240,"TX","TX11188-1","Non-NPDES","Permit not found in NPDES lookup"
"48007751001",1184252,"TX","TX0046680","NPDES","Individual Permit"
"48000000102",3608723,"TX","TX0027120","NPDES","Individual Permit"
"48000000109",3609163,"TX","TX0110013","Non-NPDES","State - Other"
"48007465001",1184088,"TX","TX0101052","NPDES","Individual Permit"
"48000000112",3609242,"TX","TX0129119","NPDES","Individual Permit"
"48009029001",1184484,"TX","WQ0010138001","Non-NPDES","State - Other"
"48003035005",3536257,"TX","TX0132179","NPDES","Individual Permit"
"48001053001",1182903,"TX","TX0128481","NPDES","Individual Permit"
"48000000171",3610608,"TX","TX0055221","NPDES","Individual Permit"
"48007039113",2882180,"TX","TX0025291","NPDES","Individual Permit"
"48007039082",1183850,"TX","TX0098191","NPDES","Individual Permit"
"48007039108",2884264,"TX","TX0113131","NPDES","Individual Permit"
"48000000403",3611315,"TX","TX0136352","NPDES","Individual Permit"
"48008051001",1184397,"TX","TX10194-2","Non-NPDES","Permit not found in NPDES lookup"
"48001115001",1227765,"TX","TX0104990","NPDES","Individual Permit"
"48003085001",1227818,"TX","TX0071030","NPDES","Individual Permit"
"48004208001",1227853,"TX","TX0132411","NPDES","Individual Permit"
"48006091001",1227903,"TX","TX0056596","NPDES","Individual Permit"
"48007173001",1227916,"TX","TX0058408","NPDES","Individual Permit"
"48004354011",2807940,"TX","TX0023931","NPDES","Individual Permit"
"48008045807",3506400,"TX","TXS001901","NPDES","Individual Permit"
"48007022801",3541495,"TX","TXR040111","NPDES","General Permit Covered Facility"
"48004354016",2808380,"TX","TX0103501","NPDES","Individual Permit"
"48006005001",2927583,"TX","TX11111  ","Non-NPDES","Permit not found in NPDES lookup"
"48000017006",2972223,"TX","TX0074888","NPDES","Individual Permit"
"48001348001",3153772,"TX","TX0013623","Non-NPDES","Permit not found in NPDES lookup"
"48007012007",1065891,"TX","TX0117501","NPDES","Individual Permit"
"48000160001",1182841,"TX","TX0055085","NPDES","Individual Permit"
"48001151001",1182954,"TX","TX0032719","NPDES","Individual Permit"
"48001243001",1183021,"TX","TX0026671","NPDES","Individual Permit"
"48001247001",1183024,"TX","TX0032638","NPDES","Individual Permit"
"48001262001",1183033,"TX","TX0112151","NPDES","Individual Permit"
"48003102001",1183250,"TX","TX0062162","NPDES","Individual Permit"
"48003232001",1183293,"TX","TX0022993","Non-NPDES","Permit not found in NPDES lookup"
"48004065001",1183380,"TX","TX0047261","NPDES","Individual Permit"
"48004204001",1183459,"TX","TX0075418","NPDES","Individual Permit"
"48004313001",1183505,"TX","TX0092223","NPDES","Individual Permit"
"48005256001",1183667,"TX","TX0027928","NPDES","Individual Permit"
"48006154001",1183755,"TX","TX0117765","NPDES","Individual Permit"
"48006167001",1183758,"TX","TX0011295","Non-NPDES","Permit not found in NPDES lookup"
"48006185001",1183767,"TX","TX0055239","NPDES","Individual Permit"
"48007146001",1183959,"TX","TX0020788","NPDES","Individual Permit"
"48007151001",1183960,"TX","TX0077941","NPDES","Individual Permit"
"48007596001",1184165,"TX","TX0070971","NPDES","Individual Permit"
"48008028003",1184373,"TX","TX0070939","NPDES","Individual Permit"
"48008191001",1184458,"TX","TX0052850","NPDES","Individual Permit"
"48009501001",1184501,"TX","TX0128813","NPDES","Individual Permit"
"48007156001",1183965,"TX","TX0079146","NPDES","Individual Permit"
"48007158001",1183967,"TX","TX0083712","NPDES","Individual Permit"
"48007438001",1184080,"TX","TX0033944","NPDES","Individual Permit"
"48008035001",1184382,"TX","TX0073946","NPDES","Individual Permit"
"48008050001",1184396,"TX","TX0022390","NPDES","Individual Permit"
"48005052001",1227877,"TX","TX0099112","NPDES","Individual Permit"
"48007552001",1227929,"TX","TX0023230","NPDES","Individual Permit"
"48003052001",1183213,"TX","TX0026590","NPDES","Individual Permit"
"48005043001",1183599,"TX","TX0107719","NPDES","Individual Permit"
"48006056001",1183714,"TX","TX0027138","NPDES","Individual Permit"
"48007012001",1183781,"TX","TX0032735","NPDES","Individual Permit"
"48007039024",1183833,"TX","TX0063070","NPDES","Individual Permit"
"48007488001",1184098,"TX","TX0071978","NPDES","Individual Permit"
"48007723001",1184237,"TX","TX0026697","NPDES","Individual Permit"
"48001217001",1227773,"TX","TX0034461","NPDES","Individual Permit"
"48003140002",1227828,"TX","TX0020257","NPDES","Individual Permit"
"48006183001",1227907,"TX","TX11184-1","Non-NPDES","Permit not found in NPDES lookup"
"48004021001",1183337,"TX","TX0047848","NPDES","Individual Permit"
"48004261001",1227861,"TX","TX0087343","NPDES","Individual Permit"
"48004098001",1183405,"TX","TX0138703","NPDES","Individual Permit"
"48009002001",1184466,"TX","WQ0010320001","Non-NPDES","State - Land Application"
"48001112001",1182916,"TX","TX0132802","NPDES","Individual Permit"
"48001130001",1182933,"TX","TX0127205","NPDES","Individual Permit"
"48000000120",3609590,"TX","TX0027308","NPDES","Individual Permit"
"48001684001",3150468,"TX","TX0023230","NPDES","Individual Permit"
"48003267001",1183304,"TX","TX0063461","NPDES","Individual Permit"
