"CWNS_ID","FACILITY_ID","STATE_CODE","RESPONSIBLE_ENTITY","AUTHORITY_NAME"
"48004212001",1183465,"TX","N","CITY OF FROST"
"48004216001",1183469,"TX","N","CITY OF KERENS"
"48004217001",1183470,"TX","N","TOWN OF LINDSAY"
"48004218001",1183471,"TX","N","CITY OF MUENSTER"
"48004223001",1183475,"TX","N","CITY OF RHOME"
"48004226001",1183477,"TX","N","CITY OF SPRINGTOWN"
"48000000102",3608723,"TX","Y","CITY OF ALEDO"
"48004232001",1183479,"TX","N","CITY OF SAINT JO"
"48004256001",1183488,"TX","N","CITY OF RUNAWAY BAY"
"48004257001",1183489,"TX","N","CITY OF CALLISBURG"
"48004269002",1183493,"TX","N","CITY OF THE COLONY"
"48004203001",1227851,"TX","N","CITY OF BELLEVUE"
"48004211001",1227854,"TX","N","CITY OF DAWSON"
"48004214001",1227855,"TX","N","CITY OF GRAHAM"
"48004220001",1227856,"TX","N","CITY OF NEWARK"
"48004221001",1227857,"TX","N","CITY OF OLNEY"
"48004225001",1227858,"TX","N","CITY OF SEYMOUR"
"48005017002",1227870,"TX","N","CITY OF GREENVILLE"
"48005022004",1227873,"TX","N","CITY OF SULPHUR SPRINGS"
"48005030001",1227875,"TX","N","CITY OF TATUM"
"48005059001",1227879,"TX","N","CITY OF DETROIT"
"48005094001",1227885,"TX","N","CITY OF QUITMAN"
"48005099001",1227887,"TX","N","CITY OF TRENTON"
"48004006001",1227833,"TX","N","CITY OF FARMERSVILLE"
"48004048001",1227837,"TX","N","CITY OF DENTON"
"48004064001",1227841,"TX","N","CITY OF BARDWELL"
"48004077001",1227844,"TX","N","CITY OF COLLINSVILLE"
"48004078004",1227845,"TX","N","CITY OF DENISON (PAW PAW)"
"48007040001",1183858,"TX","N","MONTGOMERY CO. MUD #18"
"48007040002",1183859,"TX","N","CITY OF HUMBLE - SOUTH"
"48007040801",3540518,"TX","Y","CITY OF HUMBLE - SOUTH"
