"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","POPULATION_TYPE","RESIDENTIAL_POP_2022","RESIDENTIAL_POP_2042","NONRESIDENTIAL_POP_2022","NONRESIDENTIAL_POP_2042","TOTAL_RES_POPULATION_2022","TOTAL_RES_POPULATION_2042","TOTAL_NONRES_POPULATION_2022","TOTAL_NONRES_POPULATION_2042","TREATED_DISCHARGE_PERCENTAGE_2022","TREATED_DISCHARGE_PERCENTAGE_2042","NET_TREATED_POPULATION_2022","NET_TREATED_POPULATION_2042","NO_DISCHARGE_PERCENTAGE_2022","NO_DISCHARGE_PERCENTAGE_2042","NO_DISCHARGE_POPULATION_2022","NO_DISCHARGE_POPULATION_2042","PART_OF_SEWERSHED","END_FACILITY"
"48005122001",2885956,"TX","Wastewater","Receiving Collection",232,232,,,232,232,0,0,0,0,0,0,,,,,"Y",""
"48001715001",3140835,"TX","Wastewater","Receiving Collection",3659,3659,,,3659,3659,0,0,0,0,0,0,,,,,"Y",""
"48002023001",1227783,"TX","Wastewater","Receiving Collection",200,200,,,200,200,0,0,0,0,0,0,,,,,"Y",""
"48002074001",1227797,"TX","Wastewater","Receiving Collection",11112,11112,,,11112,11112,0,0,1,1,11112,11112,1,1,11112,11112,"","Y"
"48003053001",1227807,"TX","Wastewater","Receiving Collection",1273,1273,,,1273,1273,0,0,1,1,1273,1273,,,,,"","Y"
"48005105001",1227889,"TX","Wastewater","Receiving Collection",3820,3820,,,3820,3820,0,0,1,1,3820,3820,,,,,"","Y"
"48004013001",1227835,"TX","Wastewater","Receiving Collection",4051,4051,,,4051,4051,0,0,0,0,0,0,,,,,"Y",""
"48006052001",1227898,"TX","Wastewater","Receiving Collection",2431,2431,,,2431,2431,0,0,1,1,2431,2431,,,,,"","Y"
"48008060001",1227941,"TX","Wastewater","Receiving Collection",405,405,,,405,405,0,0,1,1,405,405,1,1,405,405,"","Y"
"48008028005",3509619,"TX","Wastewater","Receiving Collection",10000,10000,,,10000,10000,0,0,0,0,0,0,,,,,"Y",""
"48001765001",3516456,"TX","Wastewater","Receiving Collection",852,852,,,852,852,0,0,1,1,852,852,,,,,"","Y"
"48008033002",1184380,"TX","Wastewater","Receiving Collection",3936,3936,,,3936,3936,0,0,1,1,3936,3936,,,,,"","Y"
"48008108001",1184430,"TX","Wastewater","Receiving Collection",3978,3978,,,3978,3978,0,0,0,0,0,0,,,,,"Y",""
"48000120001",1227741,"TX","Wastewater","Receiving Collection",3253,3253,,,3253,3253,0,0,1,1,3253,3253,,,,,"","Y"
"48002005002",1227782,"TX","Wastewater","Receiving Collection",20000,20000,,,20000,20000,0,0,0,0,0,0,,,,,"Y",""
"48004354009",1227866,"TX","Wastewater","Receiving Collection",82183,82183,,,364457,364457,0,0,1,1,364457,364457,,,,,"Y","Y"
"48007423001",1227920,"TX","Wastewater","Receiving Collection",1671,1671,,,1671,1671,0,0,1,1,1671,1671,,,,,"","Y"
"48003040004",405776,"TX","Wastewater","Receiving Collection",0,40000,,,0,40000,0,0,1,0,0,0,,,,,"Y",""
"48006022001",417949,"TX","Wastewater","Receiving Collection",48303,48303,,,48303,48303,0,0,1,1,48303,48303,,,,,"","Y"
"48000005007",1227738,"TX","Wastewater","Receiving Collection",8278,8278,,,14297,14297,0,0,1,1,14297,14297,,,,,"Y","Y"
"48001212003",1227771,"TX","Wastewater","Receiving Collection",18289,18289,,,18289,18289,0,0,1,1,18289,18289,,,,,"","Y"
"48004261001",1227861,"TX","Wastewater","Receiving Collection",2350,2350,,,2350,2350,0,0,1,1,2350,2350,,,,,"","Y"
"48006081001",1227902,"TX","Wastewater","Receiving Collection",4276,4276,,,4276,4276,0,0,1,1,4276,4276,,,,,"","Y"
"48007110001",1227915,"TX","Wastewater","Receiving Collection",903,903,,,903,903,0,0,1,1,903,903,1,1,903,903,"","Y"
"48004283001",2827521,"TX","Wastewater","Receiving Collection",695,695,,,695,695,0,0,0,0,0,0,,,,,"Y",""
