"CWNS_ID","FACILITY_ID","STATE_CODE","DISCHARGE_TYPE","PRESENT_DISCHARGE_PERCENTAGE","PROJECTED_DISCHARGE_PERCENTAGE","DISCHARGES_TO_CWNSID"
"48000001001",1182782,"TX","Outfall To Surface Waters",100,100,""
"48000167001",1182848,"TX","Evaporation",100,100,""
"48001109001",1182914,"TX","Outfall To Surface Waters",100,100,""
"48003043003",3514976,"TX","Outfall To Surface Waters",100,100,""
"48001116001",1227766,"TX","Outfall To Surface Waters",100,100,""
"48003078001",1227815,"TX","Outfall To Surface Waters",100,100,""
"48004055001",1227838,"TX","Outfall To Surface Waters",100,100,""
"48005021001",1227872,"TX","Outfall To Surface Waters",100,100,""
"48005027001",1227874,"TX","Outfall To Surface Waters",100,100,""
"48001093001",2864440,"TX","Outfall To Surface Waters",100,100,""
"48007902001",2865760,"TX","Discharge To Another Facility",100,100,"48007224001"
"48003080002",2884102,"TX","Outfall To Surface Waters",100,100,""
"48001117003",3148190,"TX","Outfall To Surface Waters",100,100,""
"48071120001",3150332,"TX","Outfall To Surface Waters",100,100,""
"48001143002",428589,"TX","Discharge To Another Facility",100,100,"48001143001"
"48001128001",1182931,"TX","Outfall To Surface Waters",100,100,""
"48001205001",1182984,"TX","Outfall To Surface Waters",100,100,""
"48001225001",1183006,"TX","Outfall To Surface Waters",100,100,""
"48001239001",1183018,"TX","Outfall To Surface Waters",100,100,""
"48001269001",1183037,"TX","Outfall To Surface Waters",100,100,""
"48001364004",1183066,"TX","Discharge To Another Facility",100,100,"48001117001"
"48002140001",1183163,"TX","Discharge To Another Facility",100,100,"48001104003"
"48003001001",1183166,"TX","Outfall To Surface Waters",100,100,""
"48003011001",1183174,"TX","Outfall To Surface Waters",100,100,""
"48004233001",1183480,"TX","Outfall To Surface Waters",100,100,""
"48004323001",1183510,"TX","Outfall To Surface Waters",100,100,""
"48005019001",1183581,"TX","Outfall To Surface Waters",100,100,""
"48005158001",1183662,"TX","Outfall To Surface Waters",100,100,""
"48006015001",1183686,"TX","Outfall To Surface Waters",100,100,""
"48007024001",1183799,"TX","Outfall To Surface Waters",100,100,""
"48007026001",1183802,"TX","Discharge To Another Facility",100,100,"48007064008"
"48007053001",1183874,"TX","Outfall To Surface Waters",100,100,""
"48007101001",1183923,"TX","Outfall To Surface Waters",100,100,""
"48007424002",1184070,"TX","Outfall To Surface Waters",100,100,""
"48007546001",1184136,"TX","Discharge To Another Facility",100,100,"48007039024"
"48007583001",1184159,"TX","Discharge To Another Facility",100,100,"48001684001"
"48009003001",1184467,"TX","Overland Flow With Discharge",100,100,""
"48009505001",1184507,"TX","Outfall To Surface Waters",100,100,""
"48000112001",1227739,"TX","Outfall To Surface Waters",100,100,""
"48006057001",1227901,"TX","Outfall To Surface Waters",100,100,""
"48007473001",1227923,"TX","Outfall To Surface Waters",100,100,""
"48007544001",1227928,"TX","Outfall To Surface Waters",100,100,""
"48001203006",1182980,"TX","Outfall To Surface Waters",100,100,""
"48001219002",1183000,"TX","Outfall To Surface Waters",100,100,""
"48002017001",1183116,"TX","Outfall To Surface Waters",100,100,""
"48004019001",1183335,"TX","Discharge To Another Facility",100,100,"48004354012"
"48005033001",1183591,"TX","Outfall To Surface Waters",100,100,""
"48006001001",1183672,"TX","Outfall To Surface Waters",100,100,""
"48007018001",1183789,"TX","Outfall To Surface Waters",100,100,""
"48007025002",1183801,"TX","Discharge To Another Facility",100,100,"48007025001"
"48007039001",1183820,"TX","Outfall To Surface Waters",100,100,""
"48007039002",1183821,"TX","Outfall To Surface Waters",100,100,""
"48007048001",1183866,"TX","Outfall To Surface Waters",100,100,""
"48007412001",1184065,"TX","Outfall To Surface Waters",100,100,""
"48007616001",1184176,"TX","Discharge To Another Facility",100,100,"48007599001"
"48007699001",1184223,"TX","Outfall To Surface Waters",100,100,""
"48007740001",1184248,"TX","Discharge To Another Facility",100,100,"48007493001"
"48007800001",1184276,"TX","Discharge To Another Facility",100,100,"48007848001"
"48007855001",1184310,"TX","Outfall To Surface Waters",100,100,""
"48008090001",1184425,"TX","Evaporation",100,100,""
"48000209001",1182860,"TX","Discharge To Another Facility",100,100,"48000208001"
"48002018001",1183117,"TX","Evaporation",100,100,""
"48003035002",1183203,"TX","Outfall To Surface Waters",100,100,""
"48003132001",1183271,"TX","Discharge To Another Facility",100,100,"48000017006"
"48003158001",1183279,"TX","Outfall To Surface Waters",100,100,""
"48004114001",1183423,"TX","Discharge To Another Facility",100,100,"48004122001"
"48004249001",1183486,"TX","Discharge To Another Facility",100,100,"48004354001"
"48004320001",1183508,"TX","Evaporation",100,100,""
"48004338001",1183515,"TX","Discharge To Another Facility",100,100,"48004122001"
"48005069001",1183618,"TX","Outfall To Surface Waters",100,100,""
