"CWNS_ID","FACILITY_ID","STATE_CODE","FLOW_TYPE","CURRENT_DESIGN_FLOW","FUTURE_DESIGN_FLOW"
"48007792001",1184273,"TX","Total Flow",0.25,0.25
"48007822001",1184287,"TX","Municipal Flow",0.43,0.2
"48007822001",1184287,"TX","Industrial Flow",,
"48007822001",1184287,"TX","Infiltration Flow",,
"48007822001",1184287,"TX","Wet Weather Peak",,
"48001004001",1182873,"TX","Municipal Flow",0.08,0.08
"48001004001",1182873,"TX","Industrial Flow",,
"48001004001",1182873,"TX","Infiltration Flow",,
"48001004001",1182873,"TX","Wet Weather Peak",,
"48001004001",1182873,"TX","Total Flow",0.08,0.08
"48001117001",1182918,"TX","Municipal Flow",0.35,1.2
"48001117001",1182918,"TX","Industrial Flow",,
"48001117001",1182918,"TX","Infiltration Flow",,
"48001117001",1182918,"TX","Wet Weather Peak",,
"48001117001",1182918,"TX","Total Flow",0.35,1.2
"48001146001",1182949,"TX","Municipal Flow",1.5,1.5
"48001146001",1182949,"TX","Industrial Flow",0.01,0.01
"48001146001",1182949,"TX","Infiltration Flow",,
"48001146001",1182949,"TX","Wet Weather Peak",,
"48001146001",1182949,"TX","Total Flow",1.51,1.51
"48002010001",1183113,"TX","Municipal Flow",0.38,0.38
"48002010001",1183113,"TX","Industrial Flow",,
"48002010001",1183113,"TX","Infiltration Flow",,
"48002010001",1183113,"TX","Wet Weather Peak",,
"48002010001",1183113,"TX","Total Flow",0.38,0.38
"48002058001",1183140,"TX","Municipal Flow",0.7,0.7
"48002058001",1183140,"TX","Industrial Flow",,
"48002058001",1183140,"TX","Infiltration Flow",,
"48002058001",1183140,"TX","Wet Weather Peak",,
"48002058001",1183140,"TX","Total Flow",0.7,0.7
"48002061001",1183142,"TX","Municipal Flow",0.152,0.152
"48002061001",1183142,"TX","Industrial Flow",,
"48002061001",1183142,"TX","Infiltration Flow",,
"48002061001",1183142,"TX","Wet Weather Peak",,
"48002061001",1183142,"TX","Total Flow",0.152,0.152
"48002141001",1183164,"TX","Municipal Flow",0.2,0.2
"48002141001",1183164,"TX","Industrial Flow",,
"48002141001",1183164,"TX","Infiltration Flow",,
"48008029001",1184375,"TX","Industrial Flow",0.87,0.87
"48008029001",1184375,"TX","Infiltration Flow",,
"48008029001",1184375,"TX","Wet Weather Peak",,
"48009516001",1184517,"TX","Municipal Flow",2.5,5
"48009516001",1184517,"TX","Industrial Flow",,
"48009516001",1184517,"TX","Infiltration Flow",,
"48009516001",1184517,"TX","Wet Weather Peak",,
"48009516001",1184517,"TX","Total Flow",2.5,5
"48001114001",1227764,"TX","Municipal Flow",5.9,11
"48001114001",1227764,"TX","Industrial Flow",,
"48001114001",1227764,"TX","Infiltration Flow",,
"48000005001",1182793,"TX","Municipal Flow",9.6,9.6
"48000005001",1182793,"TX","Industrial Flow",,
"48000005001",1182793,"TX","Infiltration Flow",,
"48000005001",1182793,"TX","Wet Weather Peak",,
"48000005001",1182793,"TX","Total Flow",9.6,9.6
"48000169001",1182850,"TX","Municipal Flow",0.045,0.045
"48000169001",1182850,"TX","Industrial Flow",,
"48000169001",1182850,"TX","Infiltration Flow",,
"48000169001",1182850,"TX","Wet Weather Peak",,
"48000169001",1182850,"TX","Total Flow",0.045,0.045
"48001008001",1182878,"TX","Municipal Flow",3.8,3.8
"48001008001",1182878,"TX","Industrial Flow",,
"48001008001",1182878,"TX","Infiltration Flow",,
"48001008001",1182878,"TX","Wet Weather Peak",,
"48001008001",1182878,"TX","Total Flow",3.8,3.8
"48003066001",1183222,"TX","Municipal Flow",0.25,0.25
"48003066001",1183222,"TX","Industrial Flow",,
"48003066001",1183222,"TX","Infiltration Flow",,
"48003066001",1183222,"TX","Wet Weather Peak",,
"48003066001",1183222,"TX","Total Flow",0.25,0.25
"48003114001",1183259,"TX","Municipal Flow",0.08,0.08
"48003114001",1183259,"TX","Industrial Flow",,
"48003114001",1183259,"TX","Infiltration Flow",,
"48003114001",1183259,"TX","Wet Weather Peak",,
"48003114001",1183259,"TX","Total Flow",0.08,0.08
"48004089001",1183398,"TX","Municipal Flow",0.63,0.63
"48004089001",1183398,"TX","Industrial Flow",,
"48004089001",1183398,"TX","Infiltration Flow",,
"48004089001",1183398,"TX","Wet Weather Peak",,
"48004089001",1183398,"TX","Total Flow",0.63,0.63
"48004150001",1183457,"TX","Municipal Flow",0.066,0.066
"48004150001",1183457,"TX","Industrial Flow",,
"48004150001",1183457,"TX","Infiltration Flow",,
"48004150001",1183457,"TX","Wet Weather Peak",,
"48004150001",1183457,"TX","Total Flow",0.066,0.066
"48004354010",1183525,"TX","Municipal Flow",1.2,1.2
"48004354010",1183525,"TX","Industrial Flow",,
"48004354010",1183525,"TX","Infiltration Flow",,
"48004354010",1183525,"TX","Wet Weather Peak",,
"48004354010",1183525,"TX","Total Flow",1.2,1.2
"48005243001",1183665,"TX","Municipal Flow",0.06,0.06
"48005243001",1183665,"TX","Industrial Flow",,
"48005243001",1183665,"TX","Infiltration Flow",,
"48005243001",1183665,"TX","Wet Weather Peak",,
"48005243001",1183665,"TX","Total Flow",0.06,0.06
"48006043002",1183706,"TX","Municipal Flow",3.3,6
"48006043002",1183706,"TX","Industrial Flow",,
"48006043002",1183706,"TX","Infiltration Flow",,
"48006043002",1183706,"TX","Wet Weather Peak",,
"48006043002",1183706,"TX","Total Flow",3.3,6
"48007524001",1184121,"TX","Municipal Flow",1.3,1.3
"48007524001",1184121,"TX","Industrial Flow",,
"48007524001",1184121,"TX","Infiltration Flow",,
"48007524001",1184121,"TX","Wet Weather Peak",,
"48007524001",1184121,"TX","Total Flow",1.3,1.3
"48007651002",1184195,"TX","Municipal Flow",0.042,0.042
"48007651002",1184195,"TX","Industrial Flow",,
"48007651002",1184195,"TX","Infiltration Flow",,
"48007651002",1184195,"TX","Wet Weather Peak",,
"48007651002",1184195,"TX","Total Flow",0.042,0.042
"48007792001",1184273,"TX","Municipal Flow",0.25,0.25
"48007792001",1184273,"TX","Industrial Flow",,
"48007792001",1184273,"TX","Infiltration Flow",,
"48007792001",1184273,"TX","Wet Weather Peak",,
"48008023001",1227937,"TX","Municipal Flow",0.2,0.2
"48008023001",1227937,"TX","Industrial Flow",,
"48008023001",1227937,"TX","Infiltration Flow",,
"48008023001",1227937,"TX","Wet Weather Peak",,
"48008023001",1227937,"TX","Total Flow",0.2,0.2
