"CWNS_ID","FACILITY_ID","STATE_CODE","HUC","WATERSHED_NAME","WATERSHED_PRIMARY_FLAG"
"48006066002",1183724,"TX","12040103","East Fork San Jacinto","Y"
"48007039021",1183830,"TX","12040104","Buffalo-San Jacinto","Y"
"48007039081",1183849,"TX","12040104","Buffalo-San Jacinto","Y"
"48004026801",3507483,"TX","12030105","Upper Trinity","Y"
"48007039813",2885344,"TX","12040104","Buffalo-San Jacinto","Y"
"48020780001",428136,"TX","12110206","Palo Blanco","Y"
"48001104003",1182908,"TX","12110208","South Laguna Madre","Y"
"48004021001",1183337,"TX","12030105","Upper Trinity","Y"
"48007781002",429612,"TX","12030203","Lower Trinity","Y"
"48001125005",3515818,"TX","12110105","Middle Nueces","Y"
"48004213001",1183466,"TX","12060201","Middle Brazos-Palo Pinto","Y"
"48004096001",1183404,"TX","12030109","Chambers","Y"
"48000000142",3610490,"TX","12070104","Lower Brazos","Y"
"48000000133",3610460,"TX","12110208","South Laguna Madre","Y"
"48003085001",1227818,"TX","12070205","San Gabriel","Y"
"48000000183",3610830,"TX","11120105","Lower Prairie Dog Town Fork Red","Y"
"48001027001",1182895,"TX","13070006","Coyanosa-Hackberry Draws","Y"
"48000000149",3610497,"TX","12100301","Upper San Antonio","Y"
"48000000211",3610858,"TX","12110204","San Fernando","Y"
"48000000277",3610975,"TX","12050007","Salt Fork Brazos","Y"
"48000000288",3610990,"TX","12100101","Lavaca","Y"
"48000000400",3611156,"TX","12110103","Upper Nueces","Y"
"48000000194",3610841,"TX","12030103","Elm Fork Trinity","Y"
"48000000236",3610919,"TX","11140101","Bois D'arc-Island","Y"
"48000000237",3610920,"TX","12010002","Middle Sabine","Y"
"48000000243",3610926,"TX","11100104","Palo Duro","Y"
"48000000251",3610940,"TX","11090106","Middle Canadian-Spring","Y"
"48000000275",3610973,"TX","12100201","Upper Guadalupe","Y"
"48071241001",3150676,"TX","12040102","Spring","Y"
"48000000163",3610517,"TX","12030101","Upper West Fork Trinity","Y"
"48000000351",3611076,"TX","12100407","Aransas","Y"
"48000000352",3611077,"TX","12090109","San Saba","Y"
"48001151006",3516498,"TX","12040205","Austin-Oyster","Y"
"48000000294",3610996,"TX","11100203","Lower Wolf","Y"
"48000000176",3610823,"TX","12110208","South Laguna Madre","Y"
"48000000182",3610829,"TX","12020004","Upper Angelina","Y"
"48000000238",3610921,"TX","12070103","Navasota","Y"
"48000000303",3611005,"TX","12090204","Llano","Y"
"48000000312",3611014,"TX","12070204","Little","Y"
"48001028001",1182896,"TX","13070008","Lower Pecos","Y"
"48004226001",1183477,"TX","12030101","Upper West Fork Trinity","Y"
"48000000143",3610491,"TX","12050001","Yellow House Draw","Y"
"48000000347",3611071,"TX","12020004","Upper Angelina","Y"
"48000000374",3611121,"TX","12020002","Middle Neches","Y"
"48000000357",3611097,"TX","11100103","Coldwater","Y"
"48000000387",3611143,"TX","12090302","Lower Colorado","Y"
"48000000134",3610478,"TX","12020001","Upper Neches","Y"
"48000000349",3611074,"TX","12020005","Lower Angelina","Y"
"48000000350",3611075,"TX","12040103","East Fork San Jacinto","Y"
"48000000378",3611128,"TX","12110106","Upper Frio","Y"
"48005075002",1183625,"TX","12020004","Upper Angelina","Y"
"48000000158",3610509,"TX","12110207","Central Laguna Madre","Y"
"48000000404",3611321,"TX","12040102","Spring","Y"
"48000000407",3612156,"TX","12040104","Buffalo-San Jacinto","Y"
"48007039007",1183825,"TX","12040104","Buffalo-San Jacinto","Y"
"48001107003",412991,"TX","12060104","Lower Clear Fork Brazos","Y"
"48004044001",1183363,"TX","12030105","Upper Trinity","Y"
"48007826003",1184289,"TX","12040101","West Fork San Jacinto","Y"
"48000000457",3613937,"TX","11140306","Caddo Lake","Y"
"48000000491",3614051,"TX","12110102","West Nueces","Y"
"48004354004",1227865,"TX","12030106","East Fork Trinity","Y"
"48000000497",3614057,"TX","12090301","Lower Colorado-Cummins","Y"
"48000000195",3610842,"TX","12070201","Leon","Y"
"48003112001",1227824,"TX","12070101","Lower Brazos-Little Brazos","Y"
"48000105001",1182799,"TX","11090105","Lake Meredith","Y"
"48000000431",3613892,"TX","11130209","Little Wichita","Y"
"48000000434",3613895,"TX","12070104","Lower Brazos","Y"
"48000000438",3613899,"TX","12100407","Aransas","Y"
"48000000507",3614068,"TX","12090104","North Concho","Y"
"48000000509",3614070,"TX","12100202","Middle Guadalupe","Y"
"48000000500",3614061,"TX","11130105","Pease","Y"
"48000000502",3614063,"TX","12030201","Lower Trinity-Tehuacana","Y"
"48000000445",3613909,"TX","12040205","Austin-Oyster","Y"
"48000115001",1227740,"TX","11130105","Pease","Y"
