"CWNS_ID","FACILITY_ID","STATE_CODE","COST_METHOD","FACILITY_DOCUMENT_CET_ID","FACILITY_DOCUMENT_COST_ID","CONSTRUCTION_TYPE","SIZING_METHOD","COUNTY_ID","COUNTY_NAME","NUM_HOME_SERVED","POP_SERVED","POP_PER_HOUSEHOLD"
"48000000443",3613905,"TX","Decentralized",10622,52139,"New","Number of Homes Served",2479,"Bosque",1600,,2.49
"48000000444",3613907,"TX","Decentralized",10623,52140,"New","Number of Homes Served",2480,"Bowie",1080,,2.57
"48000000445",3613909,"TX","Decentralized",10624,52141,"New","Number of Homes Served",2481,"Brazoria",18164,,2.87
"48000000446",3613910,"TX","Decentralized",10625,52142,"New","Number of Homes Served",2482,"Brazos",5400,,2.61
"48000000447",3613911,"TX","Decentralized",10626,52143,"New","Number of Homes Served",2483,"Brewster",92,,2.23
"48000000449",3613913,"TX","Decentralized",10627,52144,"New","Number of Homes Served",2486,"Brown",2244,,2.5
"48000000450",3613914,"TX","Decentralized",10628,52145,"New","Number of Homes Served",2487,"Burleson",3688,,2.63
"48000000451",3613916,"TX","Decentralized",10629,52146,"New","Number of Homes Served",2488,"Burnet",9800,,2.74
"48000000452",3613931,"TX","Decentralized",10630,52147,"New","Number of Homes Served",2489,"Caldwell",3232,,2.84
"48000000453",3613932,"TX","Decentralized",10631,52148,"New","Number of Homes Served",2490,"Calhoun",1844,,2.82
"48000000454",3613934,"TX","Decentralized",10632,52149,"New","Number of Homes Served",2491,"Callahan",1592,,2.57
"48001333002",436916,"TX","Decentralized",10633,52150,"New","Number of Homes Served",2492,"Cameron",9168,,3.36
"48000000455",3613935,"TX","Decentralized",10634,52151,"New","Number of Homes Served",2493,"Camp",1512,,2.78
"48000000457",3613937,"TX","Decentralized",10635,52152,"New","Number of Homes Served",2495,"Cass",432,,2.49
"48000000459",3613940,"TX","Decentralized",10636,52153,"New","Number of Homes Served",2497,"Chambers",3212,,2.92
"48000000460",3613941,"TX","Decentralized",10637,52154,"New","Number of Homes Served",2498,"Cherokee",2788,,2.7
"48000000462",3613944,"TX","Decentralized",10638,52155,"New","Number of Homes Served",2500,"Clay",816,,2.52
"48000000463",3613945,"TX","Decentralized",10639,52156,"New","Number of Homes Served",2501,"Cochran",24,,2.78
"48000000464",3613946,"TX","Decentralized",10640,52157,"New","Number of Homes Served",2502,"Coke",148,,1.95
"48000000465",3613947,"TX","Decentralized",10641,52158,"New","Number of Homes Served",2503,"Coleman",264,,2.42
"48000000466",3613948,"TX","Decentralized",10642,52159,"New","Number of Homes Served",2504,"Collin",17876,,2.84
"48000000468",3613950,"TX","Decentralized",10643,52160,"New","Number of Homes Served",2506,"Colorado",3232,,2.8
"48000000469",3613951,"TX","Decentralized",10644,52161,"New","Number of Homes Served",2507,"Comal",30896,,2.74
"48000000470",3613952,"TX","Decentralized",10645,52162,"New","Number of Homes Served",2508,"Comanche",1408,,2.43
"48000000471",3613954,"TX","Decentralized",10646,52163,"New","Number of Homes Served",2509,"Concho",336,,2.41
"48000000472",3613955,"TX","Decentralized",10647,52164,"New","Number of Homes Served",2510,"Cooke",2712,,2.57
"48000000473",3613957,"TX","Decentralized",10648,52165,"New","Number of Homes Served",2511,"Coryell",2184,,2.71
"48000000475",3613959,"TX","Decentralized",10649,52166,"New","Number of Homes Served",2513,"Crane",168,,3.31
"48000000476",3613960,"TX","Decentralized",10650,52167,"New","Number of Homes Served",2514,"Crockett",12,,2.52
"48000000477",3613961,"TX","Decentralized",10651,52168,"New","Number of Homes Served",2515,"Crosby",64,,2.79
"48000000478",3613962,"TX","Decentralized",10652,52169,"New","Number of Homes Served",2516,"Culberson",92,,3.76
"48000000479",3613963,"TX","Decentralized",10653,52170,"New","Number of Homes Served",2517,"Dallam",292,,3.07
"48000000480",3613964,"TX","Decentralized",10654,52171,"New","Number of Homes Served",2518,"Dallas",1920,,2.78
