"CWNS_ID","FACILITY_ID","STATE_CODE","CURRENT_EFFLUENT_TREATMENT_LEVEL","CURRENT_DISINFECTION_FLAG","FUTURE_EFFLUENT_TREATMENT_LEVEL","FUTURE_DISINFECTION_FLAG"
"48000154001",1182835,"TX","Secondary","Y","Secondary","Y"
"48000237001",1182864,"TX","Secondary","Y","Secondary","Y"
"48001043001",1182900,"TX","Secondary","Y","Secondary","Y"
"48001119001",1182920,"TX","Secondary","Y","Secondary","Y"
"48003011002",1183175,"TX","Secondary","Y","Secondary","Y"
"48004216001",1183469,"TX","Secondary","Y","Secondary","Y"
"48000114001",1182805,"TX","Secondary","Y","Secondary","Y"
"48001125003",1182929,"TX","Secondary","Y","Secondary","Y"
"48001209001",1182989,"TX","Secondary","Y","Secondary","Y"
"48003115001",1183260,"TX","Secondary","Y","Secondary","Y"
"48003119001",1183263,"TX","Secondary","Y","Secondary","Y"
"48003299001",1183317,"TX","Secondary","Y","Secondary","Y"
"48005086001",1183636,"TX","Secondary","Y","Secondary","Y"
"48007023002",1183798,"TX","Secondary","Y","Secondary","Y"
"48007695001",1184221,"TX","Secondary","Y","Secondary","Y"
"48007851001",1184306,"TX","Secondary","Y","Secondary","Y"
"48007871001",1184319,"TX","Secondary","Y","Secondary","Y"
"48008075001",1184416,"TX","Secondary","Y","Secondary","Y"
"48009025001",1227951,"TX","Secondary","Y","Secondary","Y"
"48001124201",3119648,"TX","Secondary","Y","Secondary","Y"
"48001010001",1227758,"TX","Secondary","Y","Secondary","Y"
"48006022001",417949,"TX","Secondary","Y","Secondary","Y"
"48001244001",3150368,"TX","Secondary","Y","Secondary","Y"
"48007045001",3500841,"TX","Secondary","Y","Secondary","Y"
"48001009007",1182880,"TX","Secondary","Y","Secondary","Y"
"48001150001",1182953,"TX","Secondary","Y","Secondary","Y"
"48001224001",1183005,"TX","Secondary","Y","Secondary","Y"
"48001275001",1183038,"TX","Secondary","Y","Secondary","Y"
"48001276001",1183039,"TX","Secondary","Y","Secondary","Y"
"48003167001",1183282,"TX","Secondary","Y","Secondary","Y"
"48005032001",1183590,"TX","Secondary","Y","Secondary","Y"
"48006048001",1183711,"TX","Secondary","Y","Secondary","Y"
"48007072001",1183899,"TX","Secondary","Y","Secondary","Y"
"48007421001",1184068,"TX","Secondary","Y","Secondary","Y"
"48007528001",1184125,"TX","Secondary","Y","Secondary","Y"
"48007535002",1184130,"TX","Secondary","Y","Secondary","Y"
"48007731001",1184241,"TX","Secondary","Y","Secondary","Y"
"48007842001",1184299,"TX","Secondary","Y","Secondary","Y"
"48008033001",1184379,"TX","Secondary","Y","Secondary","Y"
"48008043001",1184390,"TX","Secondary","Y","Secondary","Y"
