"CWNS_ID","FACILITY_ID","STATE_CODE","FACILITY_TYPE","CHANGE_TYPE"
"48000150001",1182833,"TX","Collection: Separate Sewers","No Change"
"48003111003",1183257,"TX","Treatment Plant","Increase Capacity"
"48008048001",1184395,"TX","Collection: Separate Sewers","No Change"
"48000155001",1182836,"TX","Treatment Plant","No Change"
"48003033002",1183197,"TX","Collection: Separate Sewers","No Change"
"48007039003",1183822,"TX","Treatment Plant","Rehabilitation"
"48007402001",1184063,"TX","Collection: Separate Sewers","No Change"
"48007556001",1184140,"TX","Treatment Plant","No Change"
"48003007001",1227802,"TX","Treatment Plant","No Change"
"48000134001",1182820,"TX","Collection: Separate Sewers","No Change"
"48003069001",1183223,"TX","Collection: Separate Sewers","No Change"
"48003108001",1183253,"TX","Treatment Plant","No Change"
"48005060001",1183612,"TX","Treatment Plant","Rehabilitation"
"48005060001",1183612,"TX","Treatment Plant","Instrumentation/Electrical/Laboratory"
"48007039078",1183848,"TX","Collection: Separate Sewers","No Change"
"48003134001",3164008,"TX","Treatment Plant","No Change"
"48003134001",3164008,"TX","Collection: Separate Sewers","No Change"
"48005092001",1183642,"TX","Collection: Separate Sewers","No Change"
"48001203009",1182982,"TX","Treatment Plant","No Change"
"48004023001",1183340,"TX","Collection: Separate Sewers","No Change"
"48004222001",1183474,"TX","Treatment Plant","No Change"
"48007846001",1184300,"TX","Treatment Plant","No Change"
"48001127001",1182930,"TX","Collection: Separate Sewers","Rehabilitation"
"48007682001",1184211,"TX","Collection: Separate Sewers","No Change"
"48020780001",428136,"TX","Treatment Plant","No Change"
"48020780001",428136,"TX","Collection: Separate Sewers","Rehabilitation"
"48020780001",428136,"TX","Collection: Separate Sewers","Improve Energy Efficiency"
"48020780001",428136,"TX","Collection: Separate Sewers","Climate Change Adaptation"
"48002005801",3516757,"TX","Phase I MS4","No Change"
"48008045003",3049348,"TX","Treatment Plant","Increase Capacity"
"48008045003",3049348,"TX","Treatment Plant","Increase Level Of Treatment"
"48003085001",1227818,"TX","Collection: Separate Sewers","Rehabilitation"
"48003085001",1227818,"TX","Collection: Separate Sewers","Replacement"
"48006091001",1227903,"TX","Collection: Separate Sewers","No Change"
"48003232001",1183293,"TX","Treatment Plant","No Change"
"48003232001",1183293,"TX","Collection: Separate Sewers","No Change"
"48005256001",1183667,"TX","Treatment Plant","No Change"
"48002090001",1070635,"TX","Collection: Separate Sewers","No Change"
"48006154001",1183755,"TX","Treatment Plant","No Change"
"48001247001",1183024,"TX","Collection: Separate Sewers","No Change"
"48009001001",1227950,"TX","Treatment Plant","No Change"
"48007910001",3124073,"TX","Collection: Separate Sewers","No Change"
"48001218003",1070746,"TX","Treatment Plant","No Change"
"48001012001",1182883,"TX","Treatment Plant","Rehabilitation"
"48001012001",1182883,"TX","Treatment Plant","Improve Energy Efficiency"
"48006019001",1183691,"TX","Treatment Plant","No Change"
"48006029001",1183700,"TX","Treatment Plant","Replacement"
"48006029001",1183700,"TX","Treatment Plant","Increase Capacity"
"48005066001",1227881,"TX","Treatment Plant","No Change"
"48001186001",2958243,"TX","Collection: Separate Sewers","No Change"
"48001533001",1183098,"TX","Collection: Separate Sewers","No Change"
"48003061001",1183219,"TX","Collection: Separate Sewers","No Change"
"48008035001",1184382,"TX","Treatment Plant","No Change"
"48005017002",1227870,"TX","Collection: Separate Sewers","No Change"
"48004206001",1183461,"TX","Treatment Plant","No Change"
"48005009001",1183571,"TX","Treatment Plant","Abandonment"
"48007025001",1183800,"TX","Treatment Plant","No Change"
"48007223001",1184014,"TX","Collection: Separate Sewers","No Change"
"48007490001",1184100,"TX","Treatment Plant","No Change"
"48007525001",1184122,"TX","Treatment Plant","No Change"
"48007805001",1184279,"TX","Collection: Separate Sewers","No Change"
"48009507001",1184509,"TX","Treatment Plant","No Change"
"48000128002",492642,"TX","Treatment Plant","No Change"
"48005053001",1227878,"TX","Treatment Plant","Rehabilitation"
"48005053001",1227878,"TX","Treatment Plant","Replacement"
"48005053001",1227878,"TX","Treatment Plant","Improve Energy Efficiency"
"48005053001",1227878,"TX","Collection: Separate Sewers","No Change"
"48007033006",2881937,"TX","Collection: Separate Sewers","Rehabilitation"
"48007033006",2881937,"TX","Collection: Separate Sewers","Increase Capacity"
"48001246002",2886062,"TX","Collection: Separate Sewers","No Change"
"48151251001",2882440,"TX","Collection: Separate Sewers","No Change"
"48071262001",3153131,"TX","Collection: Separate Sewers","No Change"
"48001258001",1070612,"TX","Collection: Separate Sewers","No Change"
"48000118001",1182808,"TX","Treatment Plant","No Change"
"48005072001",1183621,"TX","Treatment Plant","No Change"
"48005229001",2807320,"TX","Collection: Separate Sewers","No Change"
"48001002001",1182870,"TX","Collection: Separate Sewers","No Change"
"48007028001",1183808,"TX","Treatment Plant","No Change"
"48007594001",1184164,"TX","Collection: Separate Sewers","No Change"
"48007704001",1184226,"TX","Treatment Plant","No Change"
"48008015002",1184358,"TX","Treatment Plant","No Change"
"48000105001",1182799,"TX","Treatment Plant","No Change"
"48001113001",1182917,"TX","Collection: Separate Sewers","No Change"
"48001145001",1182948,"TX","Treatment Plant","No Change"
"48002036001",1183127,"TX","Treatment Plant","No Change"
"48004086001",1183395,"TX","Collection: Separate Sewers","No Change"
"48005081001",1183631,"TX","Treatment Plant","Increase Capacity"
"48007300001",1184049,"TX","Treatment Plant","No Change"
"48007923001",1184341,"TX","Treatment Plant","No Change"
"48009001002",1184465,"TX","Collection: Separate Sewers","No Change"
"48000017007",1067567,"TX","Collection: Separate Sewers","No Change"
"48007676001",1184207,"TX","Treatment Plant","No Change"
"48007884002",1184330,"TX","Collection: Separate Sewers","No Change"
"48004150001",1183457,"TX","Treatment Plant","No Change"
"48004354010",1183525,"TX","Collection: Separate Sewers","No Change"
"48006043002",1183706,"TX","Collection: Separate Sewers","Rehabilitation"
"48006043002",1183706,"TX","Collection: Separate Sewers","Expansion"
"48007169001",1183977,"TX","Collection: Separate Sewers","No Change"
"48007651002",1184195,"TX","Collection: Separate Sewers","No Change"
"48001123002",3542396,"TX","Treatment Plant","No Change"
"48000000395",3611151,"TX","Agriculture - Cropland","Expansion"
"48000000204",3610851,"TX","Agriculture - Cropland","Expansion"
"48000000432",3613893,"TX","Onsite Wastewater Treatment System","New"
"48000000435",3613896,"TX","Onsite Wastewater Treatment System","New"
"48000000444",3613907,"TX","Onsite Wastewater Treatment System","New"
"48000000498",3614059,"TX","Onsite Wastewater Treatment System","New"
"48000000504",3614065,"TX","Onsite Wastewater Treatment System","New"
"48003267001",1183304,"TX","Collection: Separate Sewers","Rehabilitation"
"48009047001",407572,"TX","Treatment Plant","No Change"
