"FACILITY_DOCUMENT_COST_ID","CWNS_ID","FACILITY_ID","STATE_CODE","DOCUMENT_ID","DOCUMENT_TYPE","NEEDS_CATEGORY","COST_METHOD","BASE_AMOUNT","OFFICIAL_AMOUNT","SOLUTION_YEAR_START","SOLUTION_YEAR_END","SSO_FLAG","TREATMENT_PLANT_TYPE","SSA_FLAG"
12941,"48000000103",3608783,"TX",1517,"1","IV-A","Documented",6000000,6149568,,,"N","Other",""
4446,"48002031001",1183125,"TX",1517,"1","III-A","Documented",35876000,36770317,,,"Y","Secondary Mechanical",""
18283,"48000000124",3609625,"TX",5419,"1","IV-A","Documented",38479173,36448959,,,"N","",""
18177,"48001112001",1182916,"TX",5419,"1","I","Documented",38640328,36601611,,,"N","",""
18274,"48001118001",1182919,"TX",5419,"1","I","Documented",3925000,3717912,,,"N","",""
18174,"48007423001",1227920,"TX",5419,"1","I","Documented",6359000,6023490,,,"N","",""
35620,"48007039090",1183855,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35621,"48007039090",1183855,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
35642,"48007039061",1183840,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35643,"48007039061",1183840,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
35654,"48007039017",1183828,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35655,"48007039017",1183828,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
12013,"48002138001",1227800,"TX",1517,"1","II","Documented",1741271,1784677,,,"Y","Aerated Lagoon",""
12014,"48002138001",1227800,"TX",1517,"1","III-A","Documented",3215729,3295891,,,"Y","Aerated Lagoon",""
12023,"48000000102",3608723,"TX",1517,"1","I","Documented",15703000,16094444,,,"N","",""
12026,"48006074001",1183728,"TX",1517,"1","II","Documented",23742900,24334763,,,"N","",""
11602,"48001111001",1182915,"TX",1517,"1","III-B","Documented",1600000,1639885,,,"N","Secondary Mechanical",""
12041,"48005025002",1183585,"TX",1517,"1","III-B","Documented",1775421,1819679,,,"Y","",""
12463,"48007033006",2881937,"TX",1517,"1","III-B","Documented",23760000,24352289,,,"Y","",""
12465,"48004207001",1227852,"TX",1517,"1","I","Documented",2404000,2463927,,,"Y","Aerated Lagoon",""
12466,"48004207001",1227852,"TX",1517,"1","III-B","Documented",1775000,1819247,,,"Y","Aerated Lagoon",""
12486,"48005053001",1227878,"TX",1517,"1","II","Documented",4000000,4099712,,,"Y","",""
12464,"48007033009",413590,"TX",1517,"1","III-B","Documented",3520000,3607747,,,"Y","",""
12515,"48001114001",1227764,"TX",1517,"1","II","Documented",51877000,53170190,,,"Y","Aerated Lagoon",""
12912,"48004065001",1183380,"TX",1517,"1","II","Documented",6333690,6491576,,,"N","Aerated Lagoon",""
14378,"48003290001",1227830,"TX",1517,"1","I","Documented",7530000,7717708,,,"Y","",""
13402,"48003001001",1183166,"TX",1517,"1","III-B","Documented",1470500,1507157,,,"N","Lagoon",""
13381,"48005025002",1183585,"TX",5327,"1","I","Documented",31536000,34039034,,,"N","Aerated Lagoon",""
12495,"48006047002",1183710,"TX",1517,"1","III-B","Documented",2790540,2860103,,,"Y","Aerated Lagoon",""
13414,"48003069001",1183223,"TX",5419,"1","II","Documented",29719000,28150985,,,"N","Lagoon",""
13403,"48003001001",1183166,"TX",5419,"1","I","Documented",13078000,12387987,,,"N","Lagoon",""
20907,"48007423001",1227920,"TX",5419,"1","III-B","Documented",711000,673487,,,"N","",""
13201,"48005025001",1183584,"TX",5327,"1","III-B","Documented",4580000,4943518,,,"N","",""
12896,"48001012001",1182883,"TX",1517,"1","II","Documented",4627026,4742369,,,"N","Aerated Lagoon",""
12913,"48004065001",1183380,"TX",1517,"1","III-B","Documented",4772520,4891489,,,"Y","Not Applicable",""
12462,"48007033001",1183814,"TX",1517,"1","III-B","Documented",7264400,7445487,,,"Y","Aerated Lagoon",""
12893,"48001012001",1182883,"TX",1517,"1","IV-A","Documented",1804898,1849890,,,"N","Other",""
12895,"48001012001",1182883,"TX",1517,"1","III-B","Documented",5561473,5700109,,,"N","",""
12467,"48020780001",428136,"TX",1517,"1","III-B","Documented",3653500,3744574,,,"N","Lagoon",""
15423,"48007465001",1184088,"TX",1517,"1","I","Documented",48491510,49700306,,,"N","",""
16756,"48003033002",1183197,"TX",5419,"1","I","Documented",83428000,79026223,,,"N","Secondary Mechanical",""
20053,"48004044001",1183363,"TX",5419,"1","III-B","Documented",6175000,5849198,,,"Y","",""
13613,"48001027001",1182895,"TX",5419,"1","I","Documented",5000000,4736193,,,"N","Aerated Lagoon",""
13695,"48000000104",3608872,"TX",5327,"1","III-B","Documented",5510000,5947332,,,"N","Not Applicable",""
14325,"48001139001",1182942,"TX",1517,"1","I","Documented",4525000,4637799,,,"N","",""
14326,"48005060001",1183612,"TX",1517,"1","I","Documented",110000,112742,,,"Y","",""
14327,"48005060001",1183612,"TX",1517,"1","III-B","Documented",3579000,3668217,,,"Y","",""
14385,"48000000106",3608999,"TX",1517,"1","I","Documented",15786000,16179513,,,"N","",""
20044,"48003267001",1183304,"TX",5419,"1","III-A","Documented",10600000,10040729,,,"Y","",""
20048,"48004226001",1183477,"TX",5419,"1","III-A","Documented",943750,893956,,,"Y","",""
20046,"48001123001",1182925,"TX",5419,"1","III-B","Documented",6475000,6133370,,,"Y","",""
17738,"48009002001",1184466,"TX",5419,"1","III-A","Documented",2500000,2368097,,,"Y","",""
18431,"48003026001",1183188,"TX",5419,"1","I","Documented",11425000,10822201,,,"Y","",""
18387,"48003098001",1183245,"TX",5419,"1","I","Documented",9735000,9221368,,,"N","",""
18367,"48004217001",1183470,"TX",5419,"1","I","Documented",7869150,7453963,,,"N","",""
20921,"48001130001",1182933,"TX",5419,"1","I","Documented",400000,378895,,,"N","",""
23721,"48004026002",1183344,"TX",5419,"1","IV-B","Documented",27000000,25575443,,,"Y","",""
16689,"48003033500",3514842,"TX",5419,"1","VI-B","Documented",85089042,80599627,,,"","",""
25720,"48009024001",1184483,"TX",5327,"1","IV-B","Documented",1506800,1626396,,,"Y","",""
20227,"48004354501",3507298,"TX",1517,"1","III-A","Documented",29982000,30729391,,,"Y","",""
21438,"48004142001",1183452,"TX",5419,"1","III-B","Documented",9549995,9046124,,,"N","",""
20196,"48003098001",1183245,"TX",1517,"1","X","Documented",4300000,4407190,,,"","",""
15234,"48005015002",1183577,"TX",6130,"3","III-B","Documented",250000000,270043799,,,"Y","Not Applicable",""
17974,"48003070001",1227812,"TX",5419,"1","I","Documented",1399345,1325514,,,"N","",""
