"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","POPULATION_TYPE","RES_POP_PER_UNIT","RES_NUM_OF_UNIT_2022","RES_NUM_OF_UNIT_2042","RESIDENTIAL_POP_2022","RESIDENTIAL_POP_2042","NONRES_POP_PER_UNIT","NONRES_NUM_OF_UNIT_2022","NONRES_NUM_OF_UNIT_2042","NONRESIDENTIAL_POP_2022","NONRESIDENTIAL_POP_2042"
"48000000105",3608881,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",1,230,0,230,0,2.84,,,,
"48001097700",3542462,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,1655,6405,4170.6,16140.6,,,,,
"48001150004",454853,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,1102,1102,2777.04,2777.04,,,,,
"48000000126",3609718,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,164,0,413.28,0,,,,,
"48006074002",3604554,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.7,750,0,2025,0,,,,,
"48000000475",3613959,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,371,581,934.92,1464.12,2.84,,,,
"48000000479",3613963,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,565,857,1423.8,2159.64,2.84,,,,
"48000000483",3613967,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,415,715,1045.8,1801.8,2.84,,,,
"48000000114",3609253,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.84,475,0,1349,0,2.84,,,,
"48000000428",3613888,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,1477,2813,3722.04,7088.76,2.84,,,,
"48000000463",3613945,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,202,232,509.04,584.64,2.84,,,,
"48000000484",3614043,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,71938,73207,181283.76,184481.64,2.84,,,,
"48000000487",3614047,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,259,259,652.68,652.68,2.84,,,,
"48000000491",3614051,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,113,861,284.76,2169.72,2.84,,,,
"48000000494",3614054,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,3377,5770,8510.04,14540.4,2.84,,,,
"48000000500",3614061,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,87,97,219.24,244.44,2.84,,,,
"48000000503",3614064,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,1714,6854,4319.28,17272.08,2.84,,,,
"48000000505",3614066,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,462,527,1164.24,1328.04,2.84,,,,
"48000000508",3614069,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.84,557,557,1581.88,1581.88,2.84,,,,
"48000000520",3614081,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,5463,9343,13766.76,23544.36,2.84,,,,
"48000000527",3614091,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,1709,2933,4306.68,7391.16,2.84,,,,
"48001417002",459628,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,5457,5999,13751.64,15117.48,,,,,
"48001196002",453629,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,5232,6496,13184.64,16369.92,,,,,
"48000000433",3613894,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,147,147,370.44,370.44,2.84,,,,
"48000000439",3613900,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,29416,36216,74128.32,91264.32,2.84,,,,
"48000000448",3613912,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.84,114,114,323.76,323.76,2.84,,,,
"48000000495",3614055,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,1347,2587,3394.44,6519.24,2.84,,,,
"48000000431",3613892,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,679,942,1711.08,2373.84,2.84,,,,
"48000000450",3613914,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,1400,5088,3528,12821.76,2.84,,,,
"48000000455",3613935,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,989,2501,2492.28,6302.52,2.84,,,,
"48000000457",3613937,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,2258,2690,5690.16,6778.8,2.84,,,,
"48000000476",3613960,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,246,261,619.92,657.72,2.84,,,,
"48000000534",3614099,"TX","Decentralized Wastewater Treatment","Onsite Wastewater Treatment Systems",2.52,1636,2232,4122.72,5624.64,2.84,,,,
