"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","FACILITY_NAME","DESCRIPTION","OWNER_TYPE","SUPERFUND_FLAG","SEMS_ID","SCF_ELIGIBLE","REVIEW_STATUS","REVIEW_TYPE","DATE_LAST_MODIFIED","NO_NEEDS"
"48007927001",3057249,"TX","Wastewater","Brazoria Co MUD #2 CS","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"48001658001",3126189,"TX","Wastewater","Houston Area Development Corp WWTP","","Public","N","","N","FA","Partial",13-MAY-23,"Y"
"48001721601",3376711,"TX","Wastewater","Beaumont Place WWTP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"48004269002",1183493,"TX","Wastewater","Stewart Creek WWTP - The Colony","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"48007132001",1183946,"TX","Wastewater","Lancaster CS - Dinner Creek WWTP","","Public","N","","N","FA","Partial",15-MAY-23,"Y"
"48007719001",1184234,"TX","Wastewater","Ponderosa Central WWTP","","Public","N","","N","FA","Partial",15-MAY-23,"Y"
"48007732001",1184242,"TX","Wastewater","Southbend CS - Sagemont WWTP","","Public","N","","N","FA","Partial",15-MAY-23,"Y"
"48008071001",1184412,"TX","Wastewater","Lockhart & GBRA","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"48007010001",1183779,"TX","Wastewater","Bear Creek CS - Jackrabbit WWTP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"48000154001",1182835,"TX","Wastewater","MULESHOE STP","","Public","N","","N","FA","Partial",16-MAY-23,"Y"
"48000237001",1182864,"TX","Wastewater","Friona WWTP","","Public","N","","N","FA","Partial",07-MAY-23,"Y"
"48001043001",1182900,"TX","Wastewater","Dell City WWTP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"48001119001",1182920,"TX","Wastewater","McAllen WWTP #2","","Public","N","","N","FA","Partial",07-MAY-23,"Y"
"48003011002",1183175,"TX","Wastewater","Northwest WWTP - Copperas Cove","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"48003028001",1183190,"TX","Wastewater","Robinson North CS - Waco Regional W","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"48004132001",1183442,"TX","Wastewater","North Richland Hills CS - Village C","","Public","N","","N","FA","Partial",12-MAY-23,"Y"
"48004216001",1183469,"TX","Wastewater","Kerens WWTP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"48004133001",1183444,"TX","Wastewater","Pantego CS - Village Creek WWTP","","Public","N","","N","FA","Partial",16-MAY-23,"Y"
"48071216001",3149092,"TX","Wastewater","Harris Co MUD #257 CS - Sommerall W","","Public","N","","N","FA","Partial",16-MAY-23,"Y"
"48002062001",1183143,"TX","Wastewater","Rule WWTP","","Public","N","","N","FA","Partial",03-MAY-23,""
"48005041001",1183597,"TX","Wastewater","Avery WWTP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"48005098001",1183647,"TX","Wastewater","Talco WWTP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"48006015002",1183687,"TX","Wastewater","Bancroft CS - Jackson Street WWTP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"48007005001",1183774,"TX","Wastewater","Terranova West CS - Bammel WWTP","","Public","N","","N","FA","Partial",16-MAY-23,"Y"
"48007020002",1183792,"TX","Wastewater","Richmond Regional WWTP","","Public","N","","N","FA","Partial",15-MAY-23,"Y"
"48007088001",1183911,"TX","Wastewater","Sheldon Woods WWTP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"48007211001",1184004,"TX","Wastewater","MUD #191 WWTP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"48007652001",1184196,"TX","Wastewater","Enchanted Valley WWTP","","Public","N","","N","FA","Partial",15-MAY-23,"Y"
"48007679001",1184209,"TX","Wastewater","Louetta Road CS - Bammel WWTP","","Public","N","","N","FA","Partial",15-MAY-23,"Y"
"48007877001",1184325,"TX","Wastewater","Sableridge CS - Northchase WWTP","","Public","N","","N","FA","Partial",16-MAY-23,"Y"
"48008203001",1184463,"TX","Wastewater","Falls WWTP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"48000165001",1227748,"TX","Wastewater","Silverton WWTP","","Public","N","","N","FA","Partial",12-MAY-23,"Y"
"48001170001",1227768,"TX","Wastewater","Moore WWTP","","Public","N","","N","FA","Partial",07-MAY-23,"Y"
"48006022001",417949,"TX","Wastewater","Nacogdoches - WWTP # 2a","","Public","N","","N","FA","Partial",03-MAY-23,""
"48001244001",3150368,"TX","Wastewater","NW Harris Co MUD #36 WWTP","","Public","N","","N","FA","Partial",12-MAY-23,"Y"
"48007045001",3500841,"TX","Wastewater","Industry WWTP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"48001009007",1182880,"TX","Wastewater","Northwest WWTP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"48001150001",1182953,"TX","Wastewater","Zapata WWTP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"48001224001",1183005,"TX","Wastewater","Bernard Timbers WWTP","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"48001275001",1183038,"TX","Wastewater","Markhan WWTP","","Public","N","","N","FA","Partial",04-MAY-23,"Y"
"48001276001",1183039,"TX","Wastewater","Matagorda WD & WSC WWTP","","Public","N","","N","FA","Partial",04-MAY-23,"Y"
