CWNS_ID,FACILITY_ID_x,STATE_CODE_x,DISCHARGE_TYPE,PRESENT_DISCHARGE_PERCENTAGE,PROJECTED_DISCHARGE_PERCENTAGE,DISCHARGES_TO_CWNSID,FACILITY_ID_y,STATE_CODE_y,FLOW_TYPE,CURRENT_DESIGN_FLOW,FUTURE_DESIGN_FLOW,Reuse_Volume
48002038001,1183129,TX,Reuse: Landscape-related irrigation,100,100,,1183129.0,TX,Total Flow,1.25,1.25,1.25
48001125005,3515818,TX,Reuse: Irrigation,100,100,,3515818.0,TX,Total Flow,0.36,1.08,0.36
48002074001,1227797,TX,Reuse: Landscape-related irrigation,100,100,,1227797.0,TX,Total Flow,1.37,1.37,1.37
48009076001,1227953,TX,Reuse: Agricultural-related and livestock watering,100,100,,1227953.0,TX,Total Flow,0.39,0.39,0.39
48000128002,492642,TX,Reuse: Landscape-related irrigation,100,100,,492642.0,TX,Total Flow,0.25,0.25,0.25
48004122011,3514356,TX,Reuse: Landscape-related irrigation,0,45,,3514356.0,TX,Total Flow,0.0,10.0,0.0
48001009007,1182880,TX,Reuse: Industrial,50,50,,1182880.0,TX,Total Flow,17.82,17.82,8.91
48003033015,3514796,TX,Reuse: Irrigation,100,100,,3514796.0,TX,Total Flow,0.345,0.345,0.345
48001123002,3542396,TX,Reuse: Potable,50,50,,3542396.0,TX,Total Flow,2.0,2.0,1.0
48001007004,1182877,TX,Reuse: Other Centralized Non-Potable,0,100,,1182877.0,TX,Total Flow,0.009,0.009,0.0
48002008001,1183111,TX,Reuse: Landscape-related irrigation,100,100,,1183111.0,TX,Total Flow,0.41,1.0,0.41
48003116001,1183261,TX,Reuse: Agricultural-related and livestock watering,100,100,,1183261.0,TX,Total Flow,0.48,0.48,0.48
48000000124,3609625,TX,Reuse: Landscape-related irrigation,100,100,,3609625.0,TX,Total Flow,0.8,0.4,0.8
48003116002,1183262,TX,Reuse: Agricultural-related and livestock watering,100,100,,1183262.0,TX,Total Flow,0.6,0.6,0.6
48000000165,3610547,TX,Reuse: Other Centralized Non-Potable,0,100,,3610547.0,TX,Total Flow,0.0,0.55,0.0
48001026001,1182894,TX,Reuse: Landscape-related irrigation,100,100,,1182894.0,TX,Total Flow,0.05,0.1,0.05
48008093001,1184427,TX,Reuse: Landscape-related irrigation,100,100,,1184427.0,TX,Total Flow,0.11,0.11,0.11
48003058001,1183216,TX,Reuse: Other Centralized Non-Potable,0,5,,1183216.0,TX,Total Flow,18.0,18.0,0.0
48000000418,3613135,TX,Reuse: Other Centralized Non-Potable,0,10,,3613135.0,TX,Total Flow,1.4,1.4,0.0
48001256002,3536396,TX,Reuse: Irrigation,100,100,,3536396.0,TX,Total Flow,0.067,0.067,0.067
48009002001,1184466,TX,Reuse: Irrigation,100,100,,1184466.0,TX,Total Flow,0.53,0.53,0.53
48002040001,1227786,TX,Reuse: Irrigation,100,100,,1227786.0,TX,Total Flow,1.12,1.12,1.12
48001122002,3542378,TX,Reuse: Potable,50,50,,3542378.0,TX,Total Flow,2.0,2.0,1.0
48002037001,1183128,TX,Reuse: Landscape-related irrigation,100,100,,1183128.0,TX,Total Flow,0.04,0.04,0.04
48000000132,3610453,TX,Reuse: Agricultural-related and livestock watering,100,100,,3610453.0,TX,Total Flow,0.03,0.03,0.03
48000000409,3612343,TX,Reuse: Other Centralized Non-Potable,5,5,,3612343.0,TX,Total Flow,151.89,151.89,7.5945
48001216002,1182996,TX,Reuse: Other Centralized Non-Potable,0,5,,1182996.0,TX,Total Flow,2.65,2.65,0.0
